,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
113,Diogo Dalot,pt POR,DF,Manchester Utd,24-041,1999,20.9,1,21,6,28.6,1.01,0.29,0.05,0.17,19.4,0,0,0,2.4,2.4,0.12,-1.4,-1.4,Matches,d9565625
114,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-299,2000,8.1,0,6,4,66.7,0.74,0.49,0.00,0.00,19.0,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,215f3907
115,Danilo,br BRA,MF,Nott'ham Forest,21-364,2001,7.1,1,10,2,20.0,1.42,0.28,0.10,0.50,23.7,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches,a816dbfb
116,Arnaut Danjuma,nl NED,FWMF,Tottenham,26-087,1997,1.0,1,4,3,75.0,3.96,2.97,0.25,0.33,14.1,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches,f08490a6
117,Josh Dasilva,eng ENG,MF,Brentford,24-187,1998,14.5,3,15,5,33.3,1.04,0.35,0.20,0.60,19.8,0,0,0,1.4,1.4,0.09,+1.6,+1.6,Matches,60344e4f
118,Ben Davies,wls WAL,DF,Tottenham,30-004,1993,20.5,2,14,5,35.7,0.68,0.24,0.14,0.40,16.7,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches,44781702
119,Tom Davies,eng ENG,MF,Everton,24-302,1998,6.0,0,9,2,22.2,1.51,0.33,0.00,0.00,15.7,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches,9228b07c
120,Craig Dawson,eng ENG,DF,West Ham,32-357,1990,8.0,0,6,1,16.7,0.75,0.12,0.00,0.00,15.1,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,3e9e06cb
121,Craig Dawson,eng ENG,DF,Wolves,32-357,1990,12.2,1,10,2,20.0,0.82,0.16,0.10,0.50,11.5,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches,3e9e06cb
122,Kevin De Bruyne,be BEL,MF,Manchester City,31-304,1991,25.1,7,64,21,32.8,2.55,0.84,0.11,0.33,23.0,7,0,0,5.5,5.5,0.09,+1.5,+1.5,Matches,e46012d4
123,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-233,1996,1.2,0,2,2,100.0,1.64,1.64,0.00,0.00,16.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,11f54bd5
124,Leander Dendoncker,be BEL,MF,Aston Villa,28-013,1995,7.0,0,2,0,0.0,0.29,0.00,0.00,,26.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,5a7301ae
125,Leander Dendoncker,be BEL,MF,Wolves,28-013,1995,2.4,0,3,2,66.7,1.26,0.84,0.00,0.00,16.7,0,0,0,0.7,0.7,0.22,-0.7,-0.7,Matches,5a7301ae
